zip,deck,order,axis,type,color,primary_exercise,status,line_count,color_compliance,exercise_type,parameter,block_sequence,content_depth,format,overall,missing_elements,flags
🌾🐬🍗⚪,30,Full Body,Partner,Legs,Mindful,Box Jump,GENERATED,45,85,75,83,100,85,93,85,MISSING:flanking_type_emojis_in_title,MINDFUL_REST_TOO_SHORT;TYPE_MISMATCH:Box Jump→Plus;REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🍗⚫,30,Full Body,Partner,Legs,Teaching,Kettlebell Swing,GENERATED,45,100,100,83,100,85,93,93,MISSING:flanking_type_emojis_in_title,REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🍗🔴,30,Full Body,Partner,Legs,Intense,Single-Leg Wall Sit,GENERATED,45,100,75,83,100,85,93,88,MISSING:flanking_type_emojis_in_title,TYPE_MISMATCH:Single-Leg Pogo Hops→Plus;REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🍗🔵,30,Full Body,Partner,Legs,Structured,Half-Kneeling Hip Flexor Stretch,GENERATED,45,100,100,83,100,85,93,93,MISSING:flanking_type_emojis_in_title,REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🍗🟠,30,Full Body,Partner,Legs,Circuit,(unknown),GENERATED,41,100,100,87,100,85,93,94,MISSING:flanking_type_emojis_in_title,REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:41_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🍗🟡,30,Full Body,Partner,Legs,Fun,Single-Leg Hip Thrust,GENERATED,45,75,100,83,100,85,93,88,MISSING:flanking_type_emojis_in_title,MISSING_BLOCK:🏖;REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🍗🟢,30,Full Body,Partner,Legs,Bodyweight,Single-Leg Toe Raise,GENERATED,45,100,100,83,100,85,93,93,MISSING:flanking_type_emojis_in_title,REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🍗🟣,30,Full Body,Partner,Legs,Technical,Single-Leg Jump Rope,GENERATED,45,100,50,83,100,85,93,83,MISSING:flanking_type_emojis_in_title,TYPE_MISMATCH:Single-Leg Pogo Hops → Single-Leg Jump Rope→Plus;TYPE_MISMATCH:Single-Leg Jump Rope→Ultra;REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🛒⚪,30,Full Body,Partner,Push,Mindful,Low-to-High Cable Fly,GENERATED,45,85,75,83,100,85,93,85,MISSING:flanking_type_emojis_in_title,"MINDFUL_REST_TOO_SHORT;TYPE_MISMATCH:Band Pull-Apart→Pull,Plus;REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title"
🌾🐬🛒⚫,30,Full Body,Partner,Push,Teaching,Kettlebell Swing,GENERATED,45,100,100,83,100,85,93,93,MISSING:flanking_type_emojis_in_title,REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🛒🔴,30,Full Body,Partner,Push,Intense,Single-Arm Dumbbell Lateral Raise,GENERATED,45,100,100,83,100,85,93,93,MISSING:flanking_type_emojis_in_title,REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🛒🔵,30,Full Body,Partner,Push,Structured,Incline Barbell Bench Press,GENERATED,45,100,100,83,100,85,93,93,MISSING:flanking_type_emojis_in_title,REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🛒🟠,30,Full Body,Partner,Push,Circuit,(unknown),GENERATED,41,100,100,87,100,85,93,94,MISSING:flanking_type_emojis_in_title,REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:41_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🛒🟡,30,Full Body,Partner,Push,Fun,Half-Kneeling Landmine Press,GENERATED,45,75,100,83,100,85,93,88,MISSING:flanking_type_emojis_in_title,MISSING_BLOCK:🏖;REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬🛒🟢,30,Full Body,Partner,Push,Bodyweight,Single-Arm Cable Rear Delt Fly,GENERATED,45,100,75,83,100,85,93,88,MISSING:flanking_type_emojis_in_title,"TYPE_MISMATCH:Band Pull-Apart→Pull,Plus;REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title"
🌾🐬🛒🟣,30,Full Body,Partner,Push,Technical,Single-Arm Cable Press,GENERATED,45,100,100,83,100,85,93,93,MISSING:flanking_type_emojis_in_title,REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
🌾🐬➖⚪,30,Full Body,Partner,Ultra,Mindful,Kettlebell Goblet Squat,GENERATED,45,85,80,83,100,85,93,86,MISSING:flanking_type_emojis_in_title,MINDFUL_REST_TOO_SHORT;TYPE_MISMATCH:Turkish Get-Up→Plus;REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:11reps(expected:8-10);REPS_OUT_OF_RANGE:12reps(expected:8-10);LIGHT_CONTENT:45_lines;MISSING:flanking_type_emojis_in_title
